BLOOM,CRF
Aquisição de material de construção,
um professor de capoeira para ministrar aulas nas zonas urbanas e rural,professor de capoeira para ministrar aulas nas zonas urbanas e rural
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE BORRACHARIA PARA CONSERTO DE PNEUS DOS VEÍCULOS DA FROTA MUNICIPAL,PNEUS DOS VEÍCULOS DA FROTA MUNICIPAL FORNECEDOR
AQUISIÇÃO DE MATERIAL PARA CONFECÇÃO DE ENFEITES PARA ORNAMENTAÇÃO NATALINA,MATERIAL PARA CONFECÇÃO DE ENFEITES
Urnas Mortuárias e Transporte Funerário,
Serviços Profissionais – Show Artistico,Show Artistico
EQUIPAMENTOS PERMANENTES PARA ATENDER ÀS NECESSIDADES DO HOSPITAL SÃO GERALDO,EQUIPAMENTOS PERMANENTES
Fornecimento de mão de obra para serviços diversos,
estudo hidrogeológico de qualidade das águas subterrâneas e de remediação de possível contaminação do aquífero da área de influência direta do Cemitério parque Alto da Colina,aquífero da área de influência direta do Cemitério parque Alto da Colina
janelas de madeira jatobá,prestação de serviços na confecção de janelas de madeira jatobá
Termo Aditivo nº 01/2019 Processo Licitatório nº,
profissional de notória especialização para prestação de serviços advocatícios,
prestação de serviços de telecomunicações para,prestação de serviços de telecomunicações para prover links de acesso à Internet
HOSPEDAGEM E FORNECIMENTO DE REFEIÇÃO EM MONTES CLAROS,HOSPEDAGEM E FORNECIMENTO DE REFEIÇÃO
sistemas integrados de gestão pública,Contratação de empresa especializada para a cessão de direito de uso de sistemas integrados de gestão pública
construção de quadra poliesportiva com cobertura,
Gesso Liso e Moldura de Gesso,
Ducha e Lavagem nos veículos da Prefeitura Municipal,
LOCAÇÃO DE CONCENTRADOR DE OXIGÊNIO COM CAPACIDADE MÍNIMA DE 5 LITROS DOMICILIAR PARA USO CONTINUO ATENDENDO A PRESCRIÇÃO MÉDICA,LOCAÇÃO DE CONCENTRADOR DE OXIGÊNIO
aquisição de carteiras escolares para a rede municipal de ensino,carteiras escolares para a rede municipal de ensino
AQUISIÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE ROUPAS DE SERVIÇOS DE SAÚDE DO HOSPITAL MUNICIPAL DE SÃO GOTARDO,EQUIPAMENTOS DE PROCESSAMENTO DE ROUPAS DE SERVIÇOS DE SAÚDE DO HOSPITAL MUNICIPAL DE SÃO GOTARDO
Consultoria e Assessoria à Secretaria Municipal de Educação para elaboração e monitoramento de Programas relacionados à Secretaria,Consultoria e Assessoria à Secretaria Municipal de Educação
equipamento médico e outros bens permanentes de uso geral,Fornecimento de equipamento médico e outros bens permanentes de uso geral
SERVIÇOS DE CIRURGIA DE HERNIA INGUINAL,
OBRA,
locação de concentrados de oxigênio,Fornecimento de oxigênio medicinal e locação de concentrados de oxigênio
serviços de pavimentação asfáltica no distrito de Senador Mourão,pavimentação asfáltica no distrito de Senador Mourão
CABEÇAS DE IMPRESSÃO,CARTUCHOS DE TINTA PARA IMPRESSORAS JATO DE TINTA E CABEÇAS DE IMPRESSÃO
alinhamento de cabine e caçamba e desempenar o chassi do caminhão Ford Cargo,prestação de serviços de alinhamento de cabine e caçamba
HOSPEDAGEM,HOSPEDAGEM a ser destinado a atender as necessidades das Secretarias Municipais da Administração Pública
prestação de serviços de fabricação e instalação de placas de outdoor,fabricação e instalação de placas de outdoor
CREDENCIAMENTO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE EXAME CITOPATOLÓGICO CERVICO- VAGINAL / MICROFLORA / TABELA SUS,
Contratação de empresa para prestação de serviços de hospedagem e alimentação para pacientes usuários do SUS em tratamento fora de domicílio na área hospitalar do Município de Belo Horizonte,hospedagem e alimentação para pacientes usuários do SUS em tratamento fora de domicílio na área hospitalar do Município de Belo Horizonte
AQUISIÇÃO DE TERMÔMETROS ESPECIAIS PARA UTILIZAÇÃO EM SERVIÇO DE INSPEÇÃO PELOS FISCAIS SANITÁRIOS,TERMÔMETROS ESPECIAIS
Aquisição de termômetros especiais para utilização em serviço de inspeção pelos fiscais sanitários,termômetros especiais para utilização em serviço de inspeção pelos fiscais sanitários
prensagem em mangueiras hidráulicas,prestação de serviços de prensagem em mangueiras hidráulicas para atender as necessidades do Município de Tupaciguara
carteiras escolares,carteiras escolares para Secretaria de Educação
transporte de escória de minério para melhorias das estradas vicinais,transporte de escória de minério
Serviços de análise e aprovação de projetos arquitetônicos de regularização de obras concluídas públicas e particulares,Serviços de análise e aprovação de projetos arquitetônicos de regularização de obras
serviços de remoção de postes,prestação de serviços de remoção de postes
Compra de água mineral gasosa e sem gás para uso da Câmara Municipal de São Lourenço,
Aquisição de licença de uso de software,
PRESTAÇAO DE SERVIÇO DE INTERNET,PRESTAÇAO DE SERVIÇO DE INTERNET PARA ATENDER AS SECRETARIAS MUNICIPAIS DE GALILEIA MG
IVECO,
serviços de assessoria jurídica,assessoria jurídica
Locação de Equipamentos de Sonorização de Pequeno e Médio Porte e prestação de serviços de Propaganda Volante de utilidades públicas no Município de Pedrinópolis – MG no ano de 2.017,Locação de Equipamentos de Sonorização de Pequeno e Médio Porte e prestação de serviços de Propaganda Volante de utilidades
produtos de panificação e refrigerantes,
fogos de artifício,fogos de artifício para o município de Pitangui
revista “ Escola Pública ”,
Cadista,prestação de serviços técnicos de Engenharia Cadista
TRATOR DE ESTEIRA PARA NIVELAMENTO DOS RESIDUOS DA USINA DE TRIAGEM DO MUNICIPIO DE IGUATAMA,CONTRATAÇÃO DE 50 HORAS DE TRATOR DE ESTEIRA PARA NIVELAMENTO DOS RESIDUOS DA USINA DE TRIAGEM DO MUNICIPIO DE IGUATAMA
REALIZAÇÃO DE SERVIÇOS DE CONSTRUÇÃO DE UMA QUADRA POLIESPORTIVA NO BAIRRO MONTE VERDE,CONSTRUÇÃO DE UMA QUADRA POLIESPORTIVA NO BAIRRO MONTE VERDE
CONSULTORIA E ASSESSORIA TÉCNICA AMBIENTAL PARA ACOMPANHAMENTO DE DIVERSAS ATIVIDADES,CONTRATAÇÃO DE CONSULTORIA E ASSESSORIA TÉCNICA AMBIENTAL
transporte de paciente em UTI MÒVEL,Prestação de serviço para transporte de paciente em UTI MÒVEL
exames laboratoriais de análises clínicas em atendimento aos pacientes do SUS do município de Argirita,serviços de exames laboratoriais de análises clínicas
alinhamento e balanceamento,prestação de serviços de alinhamento e balanceamento em veículos leves
Locação de máquina copiadora,Prestação de Serviços de Locação de máquina copiadora
Uniformes e Botas,
processo seletivo,
Fornecimento de vigas I.,Fornecimento de vigas I. Tipo
locação de máquinas copiadoras para manutenção dos serviços desta Administração,locação de máquinas copiadoras
CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA,PAVIMENTAÇÃO ASFÁLTICA
ar condicionado 12.000 BTUS a ser instalado no Departamento de Tesouraria da Prefeitura Municipal de Visconde do Rio Branco- MG,ar condicionado 12.000 BTUS a ser instalado no Departamento de Tesouraria
CONTRATAÇÃO DE EMPRESA PARA A EXECUÇÃO DAS OBRAS DE REFORMA E AMPLIAÇÃO DE CENTRO DE SAÚDE NA SEDE DO MUNICÍPIO DE ALVORADA DE MINAS,EXECUÇÃO DAS OBRAS DE REFORMA E AMPLIAÇÃO DE CENTRO DE SAÚDE NA SEDE DO MUNICÍPIO DE ALVORADA DE MINAS
Contratação de agência de publicidade para a prestação de serviços de comunicação social e publicidade,Contratação de agência de publicidade
sistema fotovoltaico nas escolas municipais de Araújos,
Contratante,
Contratante,
Contratante,
INSTRUTOR PARA FANFARRA,
pedra com pó de manganês para aplicação nas estradas vicinais do município,aquisição de pedra com pó de manganês para aplicação nas estradas vicinais do município
Contratação de pessoa física para prestação de serviço de oficineiro no CRAS – Serviço de Convivência e fortalecimento de vínculos,
execução de obras de extensão de rede e iluminação pública,Contratação de empresa especializada para execução de obras de extensão de rede e iluminação pública
leite em pó integral para a merenda escolar através da Agricultura Familiar,leite em pó integral
Serviços Técnicos Especializados consistentes em assessoramento de engenharia florestal para a Secretaria Municipal de Meio Ambiente,
coletes refletivos,coletes refletivos que serão
Registro de preços com vistas à eventual aquisição de materiais para pavimentação de vias públicas,materiais para pavimentação de vias
Prestação de serviço de hospedagem para os médicos Cubanos que irão atender nas Unidades Básicas de Saúde,hospedagem para os médicos Cubanos que irão atender nas Unidades Básicas de Saúde
Contratação de pessoa física para a execução das atividades de monitor de música no CRAS- Centro de Referência de Assistência Social,
Empresa especializada para prestação de serviços odontológicos e traumatologia bucomaxilofacial,prestação de serviços odontológicos e traumatologia bucomaxilofacial
PEDRAS DE ARDÓSIA,
vales-transportes,
MANUTENÇÃO DA CESSÃO DO USO DO SISTEMA DE GESTÃO DE BIBLIOTECAS SOPHIA,CONTRATO DE MANUTENÇÃO DA CESSÃO DO USO DO SISTEMA DE GESTÃO DE BIBLIOTECAS SOPHIA PARA A BIBLIOTECA MUNICIPAL VIVALDI WENCESLAU MOREIRA
Contratação do artista “ MARCO BRASIL ” para se apresentar durante a X Festa Agropecuária de Alvorada de Minas,MARCO BRASIL
Aquisição de medicamentos e materiais médico hospitalares,medicamentos e materiais médico hospitalares
conjunto de esculturas com dezessete peças de tema bíblico natalino para decoração da Praça Presidente Vargas,
Consultoria e Assessoria Contábil,prestação de serviços técnicos profissionais de Consultoria e Assessoria Contábil para Administração Pública
registro de preços para futuras e eventuais aquisições de conjuntos motobomba,conjuntos motobomba
Trator Agrícola 4x4 – operador abastecimento e implemento agrícolas inclusos,
Caminhões com motorista para a coleta de Resíduos Sólidos Urbanos,Locação de Caminhões com motorista para a coleta de Resíduos Sólidos Urbanos no Município de Tarumirim
CONTRATO MULTIPLO DE PRESTAÇÃO DE SERVIÇOS E VENDA DE PRODUTOS,CONTRATO MULTIPLO DE PRESTAÇÃO DE SERVIÇOS E VENDA DE PRODUTOS VIGENCIA
retirada do ar condicionado da sala da saúde e instalação do mesmo na sala de perícias médicas,prestação de serviços de retirada do ar condicionado da sala da saúde e instalação do mesmo na sala de perícias médicas
prestação de serviços de torneamento,
BONÉS E CHAPÉUS PARA OS SERVIDORES DO SAAE,BONÉS E CHAPÉUS
vigia e vigilância desarmada,
Conclusão dos serviços de construção da Praça da Juventude da Rua Mato Grosso no Bairro Célvia,construção da Praça da Juventude da Rua Mato Grosso no Bairro Célvia neste município
SISTEMA DE GESTÃO DE ESCOLAS E REDES DE ENSINO,
litro de gasolina comum,
Tratorenzzo Comércio e Serviços Ltda,
Refeições embaladas em marmitex e Self-service,Refeições embaladas em marmitex
fornecimento e instalação de equipamento de semáforo,
Máscara descartável,
confecção dos carnês de IPTU do município de Estrela do Sul,prestação de serviços de confecção dos carnês de IPTU do município de Estrela do Sul
alienação de imóveis sediados na área do então Parque de Exposições do Município,
manutenção de equipamentos da SMS,
coleta e realização de análises laboratoriais da água da Estação de Tratamento de Água – ETA do município de Araújos e interpretação dos resultados a fim de avaliar a potabilidade da água,coleta e realização de análises laboratoriais da água da Estação de Tratamento de Água
Transporte de Pacientes em tratamentos de Hemodiálise,
películas espelhadas e refletivas,
Compra e instalação de vidros e guarda-corpo na sede da Câmara Municipal de São Lourenço,vidros e guarda-corpo na sede da Câmara Municipal de São Lourenço
Filme 0002 Fixador Total do Fornecedor,
tinta com tecnologia de isolante térmico,
fornecimento parcelado de combustivel,
refeições prontas tipo marmitex e refeições individuais no quilo,alimentação para fornecimento de refeições prontas tipo marmitex e refeições individuais no quilo de forma parcelada
Cestas Básicas,300 Cestas Básicas
MATERIAIS MÉDICO- HOSPITALARES,
Saco p/ lixo- 100 Lts,
joelheiras de suspensão e liner em copolímero,
Fornecimento de Material de Limpeza para atender diversas Secretarias Municipais da Prefeitura Municipal de Santana do Riacho – MG,Material de Limpeza para atender diversas Secretarias Municipais da Prefeitura Municipal de Santana do Riacho – MG
Adenilson das Neves Batista,
flauta doce barroca,
Academia ao ar livre,Material permanente – Academia ao ar livre
Exames de cintilografia do miocárdio,
execução das obras de reforma das escolas nos distrito de André do Mato Dentro e Cruz dos Peixotos,execução das obras de reforma das escolas nos distrito de André do Mato Dentro e Cruz dos Peixotos tendo sido declarada vencedora
um trator de esteiras,trator de esteiras
prestação de serviços de lanternagem e pintura,
prestação de serviço de aferição e manutenção do tacógrafo do veículo ORC8717,
seguro de veículos leves pertencentes à frota do MUNICÍPIO DE SÃO GOTARDO,
LOCAÇÃO DE IMOVEL RURAL,LOCAÇÃO DE IMOVEL RURAL QUE ABRIGA JAZIDA DE CASCALHO PARA EXPLORAÇÃO MINERÁRIA PELO MUNICÍPIO DE ALVORADA DE MINAS
locação de stands especiais,stands especiais para serem utilizados durante o carnaval 2016
prestação de serviços funerários para auxílio a pessoas de famílias carentes do Município,prestação de serviços funerários
PUBLICIDADE VOLANTE,AQUISIÇÃO DE SERVIÇOS DE PUBLICIDADE VOLANTE PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS
recarga de oxigênio medicinal,serviços de recarga de oxigênio medicinal
prestação de serviços de coleta de lixo hospitalar em atendimento as necessidades da Secretaria Municipal de Saúde do Município de Lagamar,coleta de lixo hospitalar
serviço regular de Transporte Coletivo Urbano de Passageiros no Município de Formiga,Transporte Coletivo Urbano de Passageiros no Município de Formiga
TERMO DE RATIFICAÇÃO DE DISPENSA DE LICITAÇÃO nº 58/2014,
Aquisição de peças para reposição para aparelho de pressão,peças para reposição para aparelho de pressão
Locação de maquina escavadeira hidráulica em conformidade com o DECRETO 5.493/2020 para estimativa de 40 horas,Locação de maquina escavadeira hidráulica
OFICINA DE JIU JITSU,Prestação de serviço de ` ` OFICINA DE JIU JITSU ´ ´ para atender os grupos do serviço de convivência e fortalecimento de vínculos do CRAS e CASI
transporte de alunos da rede municipal de ensino do Município de Ouro Fino,
COMPUTADOR TIPO SERVIDOR,
CONTRATAÇÃO DE EMPRESA PARA DECORAÇÃO NATALINA NA PRAÇA COMENDADOR FERREIRA DE MATOS,
CARNE DE FRANGO PARA ATENDER AS SECRETARIAS E SEUS DIVERSOS SETORES,CARNE DE FRANGO
cestas de natal,cestas de natal para os servidores municipais de Cristiano Otoni
AQUISIÇÃO DOS COMBUSTÍVEIS,
FORNECIMENTO PARCELADO DE BOTIJAS GLP – GÁS LIQUEFEITO DE PETRÓLEO COM 13 KG E ÁGUA MINERAL,BOTIJAS GLP – GÁS LIQUEFEITO DE PETRÓLEO COM 13 KG E ÁGUA MINERAL
PÁ CARREGADEIRA W 20 NAS COMUNIDADES RURAIS DO MUNICIPIO,PRESTAÇÃO DE SERVIÇOS COM PÁ CARREGADEIRA
Concreto Usinado FCK 20 MPA,Concreto Usinado FCK 20 MPA e CONCRETO USINADO FCK 30 MPA
apresentações artísticas musicais,apresentações artísticas musicais a fim de compor a programação das festividades culturais durante o período de carnaval do ano de 2020
AQUISIÇÃO E MONTAGEM DE ESTANTES DE AÇO PARA AS INSTALAÇÕES DO ALMOXARIFADO,MONTAGEM DE ESTANTES DE AÇO PARA AS INSTALAÇÕES DO ALMOXARIFADO
prestação de serviços de recapagem de Pneus,recapagem de Pneus
Objeto,
registro de preço para prestação de serviço de mão de obra especializada,prestação de serviço de mão de obra especializada
TRATORENZZO COMERCIO E SERVIÇOS LTDA,
Prestação de serviço técnicos especializados de assessoramento na confecção de projetos para captação de recursos públicos através de chamamento público “ Programa brincando com esporte ”,Prestação de serviço técnicos especializados de assessoramento na confecção de projetos para captação de recursos públicos através de chamamento público
aquisição de selos postais,selos postais da Empresa Brasileira de Correios e Telégrafos — ECT
Prestaçãode serviço de recauchutagem e recapagem de pneus da frota municipal,
REGISTRO DE PREÇO PARA AQUISIÇÃO DE MARMITEX PARA OS MÉDICOS PLANTONISTAS DO PRONTO ATENDIMENTO MUNICIPAL DO MUNICÍPIO DE CAMPOS ALTOS-,MARMITEX PARA OS MÉDICOS PLANTONISTAS DO PRONTO ATENDIMENTO MUNICIPAL DO MUNICÍPIO DE CAMPOS ALTOS- MG
lanches,lanches para os atiradores do Tiro de Guerra
retífica com substituição de peças da Bomba Injetora CAV do Trator John Deere 5705,Contratação de serviço especializado de retífica com substituição de peças da Bomba Injetora CAV do Trator John Deere 5705
Prorrogação do prazo de vigência do contrato referente à contratação de empresa especializada para prestação de serviços demanutenção corretiva e de suporte do software de gestão de ponto eletrônico dos relógios das secretarias municipais,corretiva e de suporte do software de gestão de ponto eletrônico dos relógios das secretarias municipais
serviços locação de caminhão compactador e rolo compactador para coleta de resíduos sólidos e manutenção das estradas vicinais do município,locação de caminhão compactador e rolo compactador para coleta de resíduos sólidos e manutenção das estradas vicinais do município
sistema simplificado de abastecimento de água,implantação de sistema simplificado de abastecimento de água
Confecção de blocos cadastrais para o Programa e-SUS AB que auxilia no apoio a gestão do processo de trabalho e ao cuidado a saúde no Programa de Saúde Familiar,Confecção de blocos cadastrais para o Programa e-SUS AB que auxilia no apoio a gestão do processo de trabalho
prestação de serviço de mão de obra especializada,Registro de preço para prestação de serviço de mão de obra especializada
prestação de serviços de coletas e análises de água,coletas e análises de água
prestação de serviços de gerenciamento do abastecimento de combustíveis automotivos e manutenção preventiva,"prestação de serviços de gerenciamento do abastecimento de combustíveis automotivos e manutenção preventiva , por meio da implantação de sistema informatizado e integrado com utilização de cartão magnético no Município de Lagamar"
ÁGUA MINERAL E GÁS P13 E P45,ÁGUA MINERAL
Contratação De Empresa Especializada Em Instalação E Rebaixamento De Teto Com Gesso,
peças para manutenção corretiva e preventiva nas maquinas pesadas New Holland,peças para manutenção corretiva e preventiva nas maquinas pesadas
FORMAÇÃO DE REGISTRO DE PREÇOS PARA AQUISIÇÃO DE PEÇAS PARA OS VEÍCULOS PLACA KOE- 7084 MERCEDES BENS E PLACA GRF-5972 SCANIA,PEÇAS PARA OS VEÍCULOS PLACA KOE- 7084 MERCEDES BENS E PLACA GRF-5972 SCANIA
Prestação de serviço de monitoramento de alarme 24 horas,monitoramento de alarme 24 horas
AQUISIÇÃO DE PLACA DE IDENTIFICAÇÃO EXTERNA,AQUISIÇÃO DE PLACA DE IDENTIFICAÇÃO EXTERNA PARA ATENDER SETORES DA SAÚDE E CONFECÇÃO E INSTALAÇÃO DE LETRAS CAIXAS
TORNIMINAS SERVIÇO DE TORNO E SOLDA EIRELI vencedora nos lotes,
locação de equipamento para tratamento clínico denominado “ BIPAD SYNCRONY + CIRCUITO + UMIDIFICADOR + BATERIA ”,locação de equipamento para tratamento clínico denominado “ BIPAD SYNCRONY + CIRCUITO + UMIDIFICADOR + BATERIA
equipamento fotocoagulador a laser para realização de exames em pacientes diabéticos em tratamento no Centro de Referência Integrado Viva Vida e Hiperdia,equipamento fotocoagulador a laser para realização de exames em pacientes diabéticos
hospedagem,hospedagem no município de Diamantina
AÇÚCAR MASCAVO,
fornecimento de refeições,refeições
locação de máquina escavadeira,máquina escavadeira
MONTEIRO E MONTEIRO ADVOGADOS ASSOCIADOS,
contratação de serviços de publicidade,serviços de publicidade
AULAS DE ADMINISTRAÇÃO,
MATERIAL DE LIMPEZA,MATERIAL DE LIMPEZA PARA MANUTENÇÃO DA LIMPEZA DO TERMINAL RODOVIARIO MUNICIPAL
TERMINAL RODOVIARIO MUNICIPAL,MATERIAL DE LIMPEZA PARA MANUTENÇÃO DA LIMPEZA DO TERMINAL RODOVIARIO MUNICIPAL
POLPAS DE FRUTAS,AQUISIÇÃO DE POLPAS DE FRUTAS em atendimento às Escolas Municipais e Centros de Educação Infantil de João Monlevade
SERVIÇO DE ARBITRAGEM DO JELP _ JOGOS ESCOLARES DE LAGOA DA PRATA,
SERVIÇO DE ARBITRAGEM DO CAMPEONATO MUNICIPAL DE FUTEBOL AMADOR DE LAGOA DA PRATA,
SERVIÇOS DE HOSPEDAGEM,HOSPEDAGEM
projeto arquitetônico,
BLOQUETES,
aquisição de um veículo tipo camioneta pick-up,um veículo tipo camioneta pick-up
apresentação artística da Cantora LARICE BARRETO,apresentação artística da Cantora LARICE BARRETO na XXX EXPOSIÇÃO AGROPECUÁRIA E INDUSTRIAL DE LARANJAL
contratação de empresa para a execução de obras de reforma e ampliação do Ginásio Poliesportivo do Bairro da Palha,reforma e ampliação do Ginásio Poliesportivo do Bairro da Palha
prestação de serviços de confecção e instalação de letreiros em aço inox polido no Complexo Esportivo Gargatá,letreiros em aço inox polido no Complexo Esportivo Gargatá
TERMINAL RODOVIÁRIO TANCREDO NEVES PARA ATENDER SERVIÇOS DE LANCHONETE,CONCESSÃO DE USO REMUNERADO DO CÔMODO DO TERMINAL RODOVIÁRIO TANCREDO NEVES PARA ATENDER SERVIÇOS DE LANCHONETE
açúcar cristal 5 K,
açúcar cristal 5 K,
Fornecimento de material e equipamento Odontológico para o Município,Fornecimento de material e equipamento Odontológico
confecção e impressão de jornal,
serviços de fornecimento de alimentação tipo self-service com balança,fornecimento de alimentação tipo self-service com balança para atender as demandas do Município de Teófilo Otoni
aparelho ar condicionado,aquisição e instalação de aparelho ar condicionado
TERMO DE RETIFICAÇÃO DO TERCEIRO ADITIVO AO CONTRATO 08/2016 PROCESSO LICITATÓRIO Nº04/2016 PREGÃO PRESENCIAL Nº,
colares de tomada e registros de gaveta,
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE ESCOLAR PARA ATENDER ALUNOS DO MUNICÍPIO DE LAMBARI,TRANSPORTE ESCOLAR
passagens para funcionário do CISAMAPI para o exercício de 2018,
painel de led,locação de painel de led
MAPEAMENTO PRODUTIVO ECONOMICO Santa Bárbara,
mão de obra para construção de estrutura para instalação de mata burros na zona rural do município de Santa Vitória,construção de estrutura para instalação de mata burros na zona rural do município de Santa Vitória
Exames Laboratoriais através da lista de Exames do SUS,Exames Laboratoriais
sucata de ferro e aço para construção de ponte na Comunidade de Corumbá,ferro e aço para construção de ponte na Comunidade de Corumbá
LINK DE INTERNET BANDA LARGA E DEDICADA,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO LINK DE INTERNET BANDA LARGA E DEDICADA COM A VELOCIDADE MINÍMA DE 10 MB
MANUTENÇÃO MENSAL E SUPORTE TÉCNICO ESPECIALIZADO SOBRE OS SISTEMAS INFORMATIZADOS,
Serviço de alinhamento e Balanceamento de Veículos por Registro de preços,Contratação de Serviço de alinhamento e Balanceamento de Veículos
GASOLINA COMUM LT,
GASOLINA COMUM LT,
Oxigênio Medicinal 10 m³,Oxigênio Medicinal 10 m³ e Oxigênio Medicinal 01 m³ ''
serviços de arbitragem para autuação no Campeonato Taça Diamantina de Futsal,Contratação de serviços de arbitragem para autuação no Campeonato Taça Diamantina de Futsal
cadeiras odontológicas,cadeiras odontológicas e demais periféricos odontológicos
TRANSPORTE DE ESTUDANTES DA REDE PUBLICA MUNICIPAL DE ENSINO DO MUNICIPIO DE ALVORADA DE MINAS ANO LETIVO DE 2018,CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE DE ESTUDANTES DA REDE PUBLICA MUNICIPAL DE ENSINO DO MUNICIPIO
encascalhamento de estradas vicinais do Município – Zona Rural,
EXECUÇÃO DE FUNDAÇÃO DA UBS T1A,EXECUÇÃO DE FUNDAÇÃO DA UBS T1A CONFORME PROJETO.O prazo
INSUMOS PARA LABORATÓRIO DE ANÁLISES CLÍNICAS CITOPATOLÓGICOS,AQUISIÇÃO DE INSUMOS PARA LABORATÓRIO DE ANÁLISES CLÍNICAS CITOPATOLÓGICOS
EQUIPAMENTOS DEAR-CONDICIONADO E CORTINAS DE AR,
LEITE PASTEURIZADO,LEITE PASTEURIZADO DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL
MGF Informática Ltda,
jogos educativos e pedagógicos,
Locação de imóvel com estrutura para limpeza e conservação dos veículos pertencentes a frota do Município de Lamim,Locação de imóvel com estrutura para limpeza e conservação dos veículos
exames laboratoriais de análises clínicas,serviços de exames laboratoriais de análises clínicas
Campeonato Latino Americano de Jiu Jitsu,Campeonato Latino Americano de Jiu Jitsu '' a ser realizado na Quadra Poliesportiva Pedro Mello da Ilha Municipal Antônio Dutra
LEITES / SUPLEMENTO ALIMENTAR,LEITES / SUPLEMENTO ALIMENTAR PARA CUMPRIMENTO DE ORDENS JUDICIAIS
Hidrocele testicular,prestação de serviços de “ Hidrocele testicular
consultoria e assessoria contábil,consultoria e assessoria contábil à Secretaria de Assistência Social
Contratação de empresa para prestação de serviços de oficinas de taekwondo,
Baterias para os veículos no exercício de 2014,Baterias
biscoito doce,biscoito doce para a manutenção da merenda escolar dos alunos da rede municipal de ensino do município
Motoniveladora,
contratação de serviço de capotaria para recuperação de poltronas do Pronto Atendimento,serviço de capotaria para recuperação de poltronas do Pronto Atendimento
Reajuste Contratual,
Contratação de mão de obra terceirizada para prestação de serviços com pintura em geral,mão de obra terceirizada para prestação de serviços com pintura em geral
serviços de recargas e manutenção de equipamentos de informática,recargas e manutenção de equipamentos de informática
Prestação de Serviços de Mão de Obra Mecânica e Borracharia da Frota de Veículos da Prefeitura para atendimento em prol das necessidades das Diversas Secretarias Municipais da Prefeitura de Cipotânea,Prestação de Serviços de Mão de Obra Mecânica e Borracharia da Frota de Veículos da Prefeitura
passagens com destino de Buritis MG a Unaí MG,
iogurte,Aquisição de iogurte para a merenda escolar
Cemitério Emergencial Vertical Em Concreto Armado,Construção De Cemitério Emergencial Vertical Em Concreto Armado
serviços técnicos profissionais em Assessoria e Consultoria para recuperação de créditos previdenciários,prestação de serviços técnicos profissionais em Assessoria e Consultoria para recuperação de créditos previdenciários
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SUPORTE TÉCNICO CONTÁBIL E ADMINISTRATIVO AOS ORGÃOS DA ADMINISTRAÇÃO PÚBLICA MUNICIPAL,
"bloco de concreto 0,15",
NUTRISON SOYA DANONE SUPLEMENTO ALIMENTAR NUTRISON SOYA- 800 G,
KM RODADO EM VEICULO,
COMBUSTIVEL,
MOTORISTA,
"00116- ANTONIO RODRIGUES FERREIRA R $ 24.000,00",
ARTIGOS DE BORRACHARIA,
"IMUNOGLOBULINA HUMANA 5,0 G- INJETÁVEL",
DIVULGAÇÃO INSTITUCIONAL DA PREFEITURA MUNICIPAL,
impressora Plotter e suprimentos para a manutenção das atividades do Departamento de Engenharia do Município,aquisição de impressora Plotter e suprimentos para a manutenção das atividades do Departamento de Engenharia do Município
assessoria jurídica no Município de Pedra Bonita,
pavimentação asfáltica,pavimentação asfáltica em PMF
CONTRATAÇÃO EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE APOIO E SUPORTE ADMINISTRATIVO VISANDO A CAPTAÇÃO DE RECURSOS JUNTO,CONTRATAÇÃO EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE APOIO E SUPORTE ADMINISTRATIVO VISANDO A CAPTAÇÃO DE RECURSOS JUNTO AOS ÓRGÃOS E ENTIDADES QUE COMPÕEM A ADMINISTRAÇÃO PÚBLICA FEDERAL E ESTADUAL
fisioterapeuta,Credenciamento do credenciado para a prestação de serviços de fisioterapeuta para atendimento das necessidades da secretaria municipal de saúde
contratação de empresa especializada para execução de serviços afetos à Agencia Transfusional,
ALINHAMENTO E BALANCEAMENTO,
marmitex para atender as necessidades da Secretaria Municipal de Obras e Serviços,marmitex
EXTRA FORMULÁRIO CONTÍNUO E IMPRESSOS GRÁFICOS EM GERAL LTDA- ME,
Registro de Preços para Eventuais e Futuras Aquisições de equipamentos de ar Condicionados,
Gasolina Automotiva- tipo comum,
BHS – BOMBAS HIDRÁULICAS E SERVIÇOS LTDA – EPP – vencedora nos itens,
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO DE BANHEIROS QUÍMICOS,LOCAÇÃO DE BANHEIROS QUÍMICOS
